Rooms,Type,Price,Distance,Bathroom,Car,Region,LogPrice
2.0,h,1480000.0,2.5,1.0,1.0,Northern Metropolitan,14.207552645740298
2.0,h,1035000.0,2.5,1.0,0.0,Northern Metropolitan,13.849911984681606
3.0,h,1465000.0,2.5,2.0,0.0,Northern Metropolitan,14.197365800433305
3.0,h,850000.0,2.5,2.0,1.0,Northern Metropolitan,13.652991628466498
4.0,h,1600000.0,2.5,1.0,2.0,Northern Metropolitan,14.28551418721001
2.0,h,941000.0,2.5,1.0,0.0,Northern Metropolitan,13.754698418567516
3.0,h,1876000.0,2.5,2.0,0.0,Northern Metropolitan,14.444652408548308
2.0,h,1636000.0,2.5,1.0,2.0,Northern Metropolitan,14.307764796144829
1.0,u,300000.0,2.5,1.0,1.0,Northern Metropolitan,12.611537753638338
2.0,h,1097000.0,2.5,1.0,2.0,Northern Metropolitan,13.908089739257367
2.0,u,700000.0,2.5,2.0,1.0,Northern Metropolitan,13.458835614025542
3.0,h,1350000.0,2.5,2.0,2.0,Northern Metropolitan,14.115615150414612
2.0,u,750000.0,2.5,2.0,1.0,Northern Metropolitan,13.527828485512494
2.0,h,1172500.0,2.5,1.0,1.0,Northern Metropolitan,13.974648779302571
1.0,u,441000.0,2.5,1.0,1.0,Northern Metropolitan,12.996800154428984
2.0,h,1310000.0,2.5,1.0,2.0,Northern Metropolitan,14.085537695177335
3.0,h,1200000.0,2.5,2.0,1.0,Northern Metropolitan,13.997832114758229
3.0,h,1176500.0,2.5,1.0,1.0,Northern Metropolitan,13.978054487149555
3.0,h,955000.0,2.5,1.0,0.0,Northern Metropolitan,13.769466619462868
2.0,h,890000.0,2.5,1.0,1.0,Northern Metropolitan,13.698976741708323
4.0,h,1330000.0,2.5,2.0,2.0,Northern Metropolitan,14.100689500197937
3.0,t,900000.0,2.5,2.0,2.0,Northern Metropolitan,13.710150042306449
3.0,u,1090000.0,2.5,2.0,2.0,Northern Metropolitan,13.901688254205327
2.0,u,500000.0,2.5,1.0,1.0,Northern Metropolitan,13.122363377404328
2.0,h,1100000.0,2.5,2.0,1.0,Northern Metropolitan,13.9108207377686
2.0,h,1315000.0,2.5,1.0,0.0,Northern Metropolitan,14.089347223594002
1.0,u,426000.0,2.5,1.0,1.0,Northern Metropolitan,12.962194625251508
3.0,h,1447500.0,2.5,3.0,1.0,Northern Metropolitan,14.185348488429288
1.0,u,457000.0,2.5,1.0,1.0,Northern Metropolitan,13.032438669876342
2.0,h,1135000.0,2.5,2.0,2.0,Northern Metropolitan,13.94214320889764
4.0,h,1542000.0,2.5,3.0,1.0,Northern Metropolitan,14.248590833105412
3.0,h,1290000.0,2.5,2.0,2.0,Northern Metropolitan,14.070152776337855
